,F,G,average_idle_time,average_real_idle_time,busy_ration,customer_num,loss_ration
0,1.0,0.0,13.110887939799323,2.607065633383,0.6717331404377862,5000.0,0.5850277264325323
0,1.0,0.0,20.60854846410801,11.121167105078792,0.5696532200947869,5000.0,0.33553563001415765
0,1.0,0.0,13.769690284414107,3.2610018024408833,0.6622316885824424,5000.0,0.5671421544515495
0,1.0,0.0,12.465006404682276,2.6222624696387395,0.6877115144908647,5000.0,0.575011831519167
0,1.0,0.0,13.05694751689188,2.5539481613619466,0.6762763350198489,5000.0,0.5820404325340856
0,1.0,0.0,12.51131137015944,2.6189670015443904,0.6932253670240679,5000.0,0.584593572778828
0,1.0,0.0,12.351944317582431,2.5649561543674824,0.6862670135783653,5000.0,0.5729020159399906
0,1.0,0.0,12.67105479777778,2.344124503340762,0.6815552530192659,5000.0,0.5745986779981114
0,1.0,0.0,12.079433640437156,2.371277436987326,0.6914087448682879,5000.0,0.5695488721804511
0,1.0,0.0,12.775090583150993,2.4770445800446805,0.6738878480455617,5000.0,0.5655270655270656
