,F,G,average_artificial_time_cal,average_dial_interval,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,customer_num,loss_ration,time
0,0.6,0.0,26.570007114803637,19.286403986,31.778047683812396,22.665441961073814,0.4557458584951008,0.5624844075264732,2000.0,0.20240963855421687,2022-06-17 15:36:36.213736
1,0.6,1.0,26.986954848046317,21.483923925,35.28793381884057,26.9846633095238,0.4337077750097207,0.525535113705408,2000.0,0.17541766109785203,2022-06-17 15:36:42.679442
2,0.6,2.0,27.157983974647898,21.798029295,34.336914214386454,26.360796698064508,0.4419774586682489,0.5317212199962003,2000.0,0.16273584905660377,2022-06-17 15:36:49.285231
3,0.6,3.0,28.076486400568168,23.890681592907093,39.98442190469418,30.81874605526993,0.41286453820271307,0.4991741617714387,2000.0,0.17176470588235293,2022-06-17 15:36:55.830829
4,0.6,4.0,26.76566340084387,24.2537299675,41.58552213098592,32.84829584864166,0.3919257061682692,0.477064079982111,2000.0,0.1515513126491647,2022-06-17 15:37:02.356080
5,0.6,5.0,27.010170213783397,24.553903496,42.142840732394376,32.77559066962026,0.39092066622049226,0.47292875079082647,2000.0,0.1595744680851064,2022-06-17 15:37:08.903979
6,0.8,0.0,26.761698199655765,14.711543759,23.954831263793103,14.802429573294628,0.5281014353333563,0.6535984934563638,2000.0,0.28886168910648713,2022-06-17 15:37:16.847752
7,0.8,1.0,27.46833306677525,16.263166987012987,25.621908287112557,16.45003390733056,0.5177964867036643,0.6348565469617049,2000.0,0.2801875732708089,2022-06-17 15:37:24.504546
8,0.8,2.0,26.948272051829278,17.504201647528706,26.55104692671754,17.36868039553218,0.5040937966717436,0.623098321860173,2000.0,0.2545454545454545,2022-06-17 15:37:31.845744
9,0.8,3.0,26.915393492447127,18.80197073226773,29.99407072163389,20.46769524342105,0.473327934666647,0.5867756097304309,2000.0,0.2399540757749713,2022-06-17 15:37:38.868302
10,0.8,4.0,27.128866622257043,19.262911336000002,33.35816380690739,23.553370810109303,0.44889519537929534,0.5528463517435825,2000.0,0.22666666666666666,2022-06-17 15:37:45.421091
11,0.8,5.0,26.78607378220861,19.069912842,31.7779030691244,22.561101688679226,0.4577623678633591,0.5612191766618164,2000.0,0.21728691476590636,2022-06-17 15:37:52.304289
12,1.0,0.0,26.11379316731518,11.600867159181636,19.19188986159844,9.223700597859326,0.5768665350545792,0.740746151386334,2000.0,0.3708690330477356,2022-06-17 15:38:01.108067
13,1.0,1.0,27.70419082847341,14.579815311377246,22.535017869415814,12.623591857954557,0.5518702083108891,0.696346333718985,2000.0,0.3236658932714617,2022-06-17 15:38:08.778864
14,1.0,2.0,27.259255275862074,14.656506524000001,23.38623484455958,14.152201772925764,0.5386654328124281,0.6687484832234257,2000.0,0.30036188178528345,2022-06-17 15:38:16.892052
15,1.0,3.0,26.176988700657876,14.974541668165918,23.1849350560132,14.47816518607956,0.5307172940502657,0.6601195680495006,2000.0,0.28554641598119856,2022-06-17 15:38:24.637073
16,1.0,4.0,26.316603933333333,17.118089110944528,25.67321871927162,16.849373582446805,0.5065666207635894,0.6304575024903343,2000.0,0.24050632911392406,2022-06-17 15:38:31.655853
17,1.0,5.0,27.13851130161291,16.7967594775,27.146198707592884,17.881705668531463,0.5003327449240558,0.6198139296218034,2000.0,0.25301204819277107,2022-06-17 15:38:38.862016
18,1.2,0.0,26.562990681818196,10.599378256371814,17.32656062525879,7.181060849683534,0.6057176202703809,0.7861774222302259,2000.0,0.4189675870348139,2022-06-17 15:38:47.807493
19,1.2,1.0,26.85652165458016,12.009232596,19.047578221797313,9.064322843283572,0.5855208054920908,0.7473196622499563,2000.0,0.3806146572104019,2022-06-17 15:38:56.848092
20,1.2,2.0,27.344730035381758,12.535788775612193,19.44214798507462,9.572194970238087,0.5849055925252811,0.7437766783593167,2000.0,0.3791907514450867,2022-06-17 15:39:05.532523
21,1.2,3.0,27.044474531802113,13.388374035429141,20.46069842477877,10.631774668073145,0.5697289020175538,0.7186488873649108,2000.0,0.347926267281106,2022-06-17 15:39:14.083437
22,1.2,4.0,27.0656982051756,14.1527995605,25.259589966666667,14.903806785498492,0.5177204331927238,0.6511537916203738,2000.0,0.3353808353808354,2022-06-17 15:39:21.728541
23,1.2,5.0,26.81689557461407,14.448079341329334,22.881603709621988,13.744488827285922,0.5400181214851181,0.6729010932128564,2000.0,0.3026315789473684,2022-06-17 15:39:30.095637
