,F,G,average_artificial_time_cal,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,customer_num,loss_ration,time
0,1.0,0.0,26.99927958485273,19.76693084070176,10.465355130160557,0.577495684820666,0.7262352720418497,5000.0,0.33426704014939307,2022-06-17 12:27:39.926026
1,1.0,1.0,26.909056071780416,22.31871669366199,12.81553496987255,0.5467979304517722,0.6836907794385346,5000.0,0.31977022498803254,2022-06-17 12:28:02.871835
2,1.0,2.0,27.40205881432542,24.252582021572746,15.043540449326322,0.5306591663467831,0.6541743758285765,5000.0,0.2852882703777336,2022-06-17 12:28:24.701916
3,1.0,3.0,27.18340845666235,25.74615387249191,16.514826492011018,0.5137386888371352,0.6335797074055164,5000.0,0.26799242424242425,2022-06-17 12:28:46.141942
4,1.0,4.0,26.62103179048844,26.82464055498391,17.561625038997207,0.49825589795260733,0.620818513615606,5000.0,0.25371702637889687,2022-06-17 12:29:07.046822
5,1.0,5.0,26.708249142108762,28.661988482306633,19.066398108988725,0.4825210667593357,0.5984677035317677,5000.0,0.24518042511122096,2022-06-17 12:29:27.873500
6,1.2,0.0,26.73852678583197,16.15962626380873,6.82006945513653,0.623495984711685,0.7985243191895152,5000.0,0.4121065375302663,2022-06-17 12:29:51.686984
7,1.2,1.0,26.963247124999995,19.441326875675678,9.595240830085263,0.5812350792376233,0.737938238442988,5000.0,0.38954309938765896,2022-06-17 12:30:15.663061
8,1.2,2.0,26.6626427429399,19.873954436956517,10.267496545933291,0.5731164733023327,0.7268805383277563,5000.0,0.358271375464684,2022-06-17 12:30:39.573007
9,1.2,3.0,27.01513373484848,21.40734371330118,12.304415009820918,0.5580747423518434,0.6969762503093468,5000.0,0.31926863572433195,2022-06-17 12:31:02.971600
10,1.2,4.0,26.837758411022545,23.41093479933558,13.873775348552373,0.5342639158728315,0.6706287998980845,5000.0,0.28794326241134754,2022-06-17 12:31:25.678570
11,1.2,5.0,27.073005861021393,25.05698806791714,15.672056300384355,0.5194978591727051,0.6460084460197429,5000.0,0.27710280373831775,2022-06-17 12:31:47.395689
12,1.4,0.0,27.07613281453867,14.70857029570896,4.6733256732876685,0.6482041587562475,0.8477685590605489,5000.0,0.4892908138981437,2022-06-17 12:32:10.955332
13,1.4,1.0,27.06959635895265,16.557428157227438,6.680654425407205,0.6206766653657722,0.8014091096251312,5000.0,0.4409820585457979,2022-06-17 12:32:34.837226
14,1.4,2.0,26.343466231437546,17.681805776284637,7.772473101581552,0.5985613475907136,0.7706688305365041,5000.0,0.40646976090014064,2022-06-17 12:32:59.086898
15,1.4,3.0,27.349809702999316,19.210408753294242,9.810257475487258,0.5875845929891138,0.7389732956547937,5000.0,0.35731076633756464,2022-06-17 12:33:23.103270
16,1.4,4.0,27.513080993401765,21.75268927953044,12.082257910885168,0.558643251221945,0.6992779074255605,5000.0,0.34138097537421536,2022-06-17 12:33:46.348941
