,average_artificial_time_cal,average_idle_time1,average_idle_time2,busy_ration1,busy_ration2,call_num,customer_num,loss_ration,max_wait_time,seconds_delay,time
0,27.42052887522281,19.43645826428572,9.251794883852698,0.5856291732205647,0.7513349715905098,1.0,2000.0,0.33451957295373663,12.0,0.0,2022-06-17 14:39:03.158489
1,26.97826185714283,23.10345220813011,13.132391310757,0.5390885916028881,0.679222236857348,1.0,2000.0,0.2895040369088812,15.0,0.0,2022-06-17 14:39:06.423397
2,26.98832499554236,28.388430385416655,19.46374793931398,0.4877298821738954,0.6038277549828949,1.0,2000.0,0.1822600243013366,18.0,0.0,2022-06-17 14:39:09.530874
3,26.80529849504949,33.492697485835706,24.08482393207548,0.44489661949303816,0.5505000489755186,1.0,2000.0,0.1532934131736527,21.0,0.0,2022-06-17 14:39:12.603419
4,26.567821243759184,41.69545023088235,31.644640010457515,0.3895458174337099,0.4787847814060644,1.0,2000.0,0.15508684863523572,24.0,0.0,2022-06-17 14:39:15.621232
5,27.140194889212808,46.49020758832119,36.53288454319373,0.3689399627022082,0.4469098237198846,1.0,2000.0,0.14463840399002495,27.0,0.0,2022-06-17 14:39:18.632473
6,26.704626724381612,20.58358348672568,11.312999638643083,0.5651552356754991,0.7132045351670804,1.0,2000.0,0.2942643391521197,12.0,1.0,2022-06-17 14:39:21.798357
7,26.96994356818179,23.747956224390272,14.622270024965353,0.5321683225503432,0.6622943443532054,1.0,2000.0,0.25872442839951865,15.0,1.0,2022-06-17 14:39:24.988460
8,27.40828820729927,27.45601358187134,18.55641413060179,0.4999302899072959,0.6140935326085415,1.0,2000.0,0.20256111757857975,18.0,1.0,2022-06-17 14:39:28.181756
9,26.82386349637158,35.72862365261625,26.557515308093976,0.42917748034494435,0.527597068903754,1.0,2000.0,0.14409937888198757,21.0,1.0,2022-06-17 14:39:31.210399
10,27.09561577493263,36.62528248717947,27.492437639855932,0.42555302742302126,0.5152598376197273,1.0,2000.0,0.14810562571756603,24.0,1.0,2022-06-17 14:39:34.361302
11,27.395889378116348,43.86196078918169,34.43656166120907,0.3847894023677806,0.4680867779156896,1.0,2000.0,0.14047619047619048,27.0,1.0,2022-06-17 14:39:37.434755
12,26.08051009271523,18.70305780597015,9.489920246612469,0.5827708020159628,0.7409022215964354,1.0,2000.0,0.30011587485515645,12.0,2.0,2022-06-17 14:39:40.742389
13,27.251720387786268,21.989718782874608,13.392535884154452,0.5538082019075183,0.6879480399492002,1.0,2000.0,0.23481308411214954,15.0,2.0,2022-06-17 14:39:43.981871
14,26.739881004255324,27.751460971590912,17.98306505773956,0.4910727192562999,0.618683725426506,1.0,2000.0,0.20875420875420875,18.0,2.0,2022-06-17 14:39:47.224550
15,26.818225498641283,32.412753785034035,23.910044153846176,0.45311052405741253,0.5504680370594032,1.0,2000.0,0.1510957324106113,21.0,2.0,2022-06-17 14:39:50.377766
16,27.419115821126756,41.01054899435825,31.698810478260874,0.401028996210398,0.48936133175206514,1.0,2000.0,0.12128712871287128,24.0,2.0,2022-06-17 14:39:53.404488
17,27.472821117969826,43.57653596840659,34.38420546296296,0.3869979313632074,0.46182704520972817,1.0,2000.0,0.1342042755344418,27.0,2.0,2022-06-17 14:39:56.489247
18,26.71896785521886,19.833456625632373,10.33135970839064,0.5743663417942412,0.7281841652373802,1.0,2000.0,0.3109048723897912,12.0,3.0,2022-06-17 14:39:59.813202
19,26.646586976851868,23.935580180834606,15.461498710027087,0.5271830244425674,0.6516203556936657,1.0,2000.0,0.23674911660777384,15.0,3.0,2022-06-17 14:40:03.043075
20,26.84327256231883,28.828352711175626,20.150766777634967,0.48253365683731747,0.5915731992293027,1.0,2000.0,0.18246445497630331,18.0,3.0,2022-06-17 14:40:06.208667
21,27.302931320217077,33.283273788043495,25.294202170000013,0.4509821640489042,0.5464829968245779,1.0,2000.0,0.1141826923076923,21.0,3.0,2022-06-17 14:40:09.289419
22,26.79364662760412,37.107482376792746,28.979402463297266,0.4196157663372873,0.5089234427714578,1.0,2000.0,0.09753231492361927,24.0,3.0,2022-06-17 14:40:12.410974
23,26.978336936551745,45.71025551657456,36.7443755057179,0.37147173729429617,0.45079030001649584,1.0,2000.0,0.10714285714285714,27.0,3.0,2022-06-17 14:40:15.433701
24,26.883691601296604,18.881540094155834,9.747998667563921,0.5878191620090063,0.7433306885963311,1.0,2000.0,0.28339140534262486,12.0,4.0,2022-06-17 14:40:18.748279
25,27.21498775993884,23.813020194486977,14.681717777486902,0.5337151524957114,0.6636481108482722,1.0,2000.0,0.23508771929824562,15.0,4.0,2022-06-17 14:40:22.021140
26,27.201961690406986,29.758911832605524,21.160107563899857,0.4779181214779434,0.5898672195736578,1.0,2000.0,0.16908212560386474,18.0,4.0,2022-06-17 14:40:25.199085
27,26.51586440485826,34.109936750000045,26.232207982434172,0.437701643758896,0.5342559144840374,1.0,2000.0,0.10290556900726393,21.0,4.0,2022-06-17 14:40:28.287724
28,26.954728564304485,37.61669938633375,29.840223586165024,0.41775987381381396,0.4998893837944452,1.0,2000.0,0.09822485207100591,24.0,4.0,2022-06-17 14:40:31.560557
29,27.256003459387493,44.04268803199999,35.62969422400989,0.3825938492609846,0.46190454084692234,1.0,2000.0,0.10059880239520957,27.0,4.0,2022-06-17 14:40:34.783348
30,26.90263867384107,20.426119441127682,11.349035682072817,0.5688269961463575,0.7163351294861872,1.0,2000.0,0.27228915662650605,12.0,5.0,2022-06-17 14:40:38.074050
