,average_artificial_time_cal,average_idle_time1,average_idle_time2,average_dial_interval,busy_ration1,busy_ration2,call_num,customer_num,loss_ration,max_wait_time,seconds_delay,time
0,26.99570026712328,18.43551284137932,9.697038381502896,13.351669928,0.5958665609927303,0.7463780842825609,1.0,500.0,0.3080568720379147,12.0,0.0,2022-06-17 15:27:50.822900
1,27.8971591369863,25.03072761379311,13.99992532972973,15.456208242,0.5287915055166763,0.6637447435041856,1.0,500.0,0.3145539906103286,15.0,0.0,2022-06-17 15:27:51.626256
2,27.82265909937888,28.607898756250005,19.18397185405405,18.477559652,0.49459982348410597,0.6081320874598966,1.0,500.0,0.20297029702970296,18.0,0.0,2022-06-17 15:27:52.396674
3,26.649427469273736,33.528140410112364,24.727094219387755,21.413582198,0.44422923894188093,0.5486687748158476,1.0,500.0,0.14354066985645933,21.0,0.0,2022-06-17 15:27:53.181873
4,27.09301199999999,38.54513703409091,28.36758408955225,23.14711531,0.414137185417077,0.5075840858832106,1.0,500.0,0.1650943396226415,24.0,0.0,2022-06-17 15:27:53.951876
5,27.157665391812877,47.64879830588234,39.00798409289616,25.505587092000003,0.36439636821389937,0.4398683758161343,1.0,500.0,0.12307692307692307,27.0,0.0,2022-06-17 15:27:54.706151
6,26.558010086666666,18.673074671140945,10.6870260760234,13.558955752000001,0.5887832712656625,0.7299018241963936,1.0,500.0,0.29577464788732394,12.0,1.0,2022-06-17 15:27:55.538152
7,27.158191961538467,23.321561270967738,14.730724898876405,15.760320545999999,0.5395997178580942,0.6660431290965901,1.0,500.0,0.2390243902439025,15.0,1.0,2022-06-17 15:27:56.338887
8,28.41507958045977,25.833983242774558,17.93471697948717,18.803376558,0.5252267805419294,0.6284836972677603,1.0,500.0,0.22321428571428573,18.0,1.0,2022-06-17 15:27:57.141205
9,25.554481152173913,33.1312416557377,24.15281461691541,21.4848833,0.4367864648380084,0.5490295487479047,1.0,500.0,0.13615023474178406,21.0,1.0,2022-06-17 15:27:57.942710
10,26.74692923076923,38.8059770441989,28.980454167487693,23.857538021999996,0.4093519668369869,0.5052876070124039,1.0,500.0,0.125,24.0,1.0,2022-06-17 15:27:58.728451
11,27.63242841176473,48.11928847928992,38.54868824731181,25.598880206,0.3661444046689437,0.4411349184779117,1.0,500.0,0.13705583756345174,27.0,1.0,2022-06-17 15:27:59.467589
12,27.41160727210885,18.38529369178082,9.202479088888888,13.501974042,0.6001863010233802,0.7532758921663957,1.0,500.0,0.30985915492957744,12.0,2.0,2022-06-17 15:28:00.316567
13,25.876881626506034,23.453508054545456,15.887617848314605,16.387116134,0.5260693891858429,0.6536606863032937,1.0,500.0,0.17,15.0,2.0,2022-06-17 15:28:01.106897
14,26.761418331249995,33.048666748427685,25.03773248554914,19.119437904,0.4489904863276751,0.5457979110374738,1.0,500.0,0.1443850267379679,18.0,2.0,2022-06-17 15:28:01.862698
15,27.242685010101013,28.814033258883253,19.82492658482143,22.136995098000003,0.4872492183081598,0.598860288430869,1.0,500.0,0.16101694915254236,21.0,2.0,2022-06-17 15:28:02.697599
16,26.47974559390864,34.825326137755106,25.37818160273973,24.647153184,0.4331831318960781,0.5384740572256073,1.0,500.0,0.11659192825112108,24.0,2.0,2022-06-17 15:28:03.499727
